"","macrorregiao","mes_ano","nivel_atencao","categoria","fte_mensal","qtd_mensal"
"25","Macrorregião Centro-Norte",2008-04-01,"APS","Enfermeiro",45872,286.7
"26","Macrorregião Centro-Norte",2008-04-01,"APS","Médico",49040,306.5
"27","Macrorregião Centro-Norte",2008-04-01,"Atenção Secundária","Enfermeiro",320,2
"28","Macrorregião Centro-Norte",2008-05-01,"APS","Enfermeiro",45712,285.7
"29","Macrorregião Centro-Norte",2008-05-01,"APS","Médico",48320,302
"30","Macrorregião Centro-Norte",2008-05-01,"Atenção Secundária","Enfermeiro",320,2
"31","Macrorregião Centro-Norte",2008-06-01,"APS","Enfermeiro",46192,288.7
"32","Macrorregião Centro-Norte",2008-06-01,"APS","Médico",47376,296.1
"33","Macrorregião Centro-Norte",2008-06-01,"Atenção Secundária","Enfermeiro",320,2
"34","Macrorregião Centro-Norte",2008-07-01,"APS","Enfermeiro",46768,292.3
"35","Macrorregião Centro-Norte",2008-07-01,"APS","Médico",47804,298.775
"36","Macrorregião Centro-Norte",2008-07-01,"Atenção Secundária","Enfermeiro",320,2
"37","Macrorregião Centro-Norte",2008-08-01,"APS","Enfermeiro",47376,296.1
"38","Macrorregião Centro-Norte",2008-08-01,"APS","Médico",47772,298.575
"39","Macrorregião Centro-Norte",2008-08-01,"Atenção Secundária","Enfermeiro",320,2
"40","Macrorregião Centro-Norte",2008-09-01,"APS","Enfermeiro",47856,299.1
"41","Macrorregião Centro-Norte",2008-09-01,"APS","Médico",47932,299.575
"42","Macrorregião Centro-Norte",2008-09-01,"Atenção Secundária","Enfermeiro",320,2
"43","Macrorregião Centro-Norte",2008-10-01,"APS","Enfermeiro",47216,295.1
"44","Macrorregião Centro-Norte",2008-10-01,"APS","Médico",48132,300.825
"45","Macrorregião Centro-Norte",2008-10-01,"Atenção Secundária","Enfermeiro",320,2
"46","Macrorregião Centro-Norte",2008-11-01,"APS","Enfermeiro",47208,295.05
"47","Macrorregião Centro-Norte",2008-11-01,"APS","Médico",46500,290.625
"48","Macrorregião Centro-Norte",2008-11-01,"Atenção Secundária","Enfermeiro",320,2
"49","Macrorregião Centro-Norte",2008-12-01,"APS","Enfermeiro",47620,297.625
"50","Macrorregião Centro-Norte",2008-12-01,"APS","Médico",46428,290.175
"51","Macrorregião Centro-Norte",2008-12-01,"Atenção Secundária","Enfermeiro",320,2
"52","Macrorregião Centro-Norte",2009-01-01,"APS","Enfermeiro",47436,296.475
"53","Macrorregião Centro-Norte",2009-01-01,"APS","Médico",46104,288.15
"54","Macrorregião Centro-Norte",2009-01-01,"Atenção Secundária","Enfermeiro",320,2
"55","Macrorregião Centro-Norte",2009-02-01,"APS","Enfermeiro",47820,298.875
"56","Macrorregião Centro-Norte",2009-02-01,"APS","Médico",45612,285.075
"57","Macrorregião Centro-Norte",2009-02-01,"Atenção Secundária","Enfermeiro",320,2
"58","Macrorregião Centro-Norte",2009-03-01,"APS","Enfermeiro",47352,295.95
"59","Macrorregião Centro-Norte",2009-03-01,"APS","Médico",44560,278.5
"60","Macrorregião Centro-Norte",2009-03-01,"Atenção Secundária","Enfermeiro",320,2
"61","Macrorregião Centro-Norte",2009-04-01,"APS","Enfermeiro",48256,301.6
"62","Macrorregião Centro-Norte",2009-04-01,"APS","Médico",44436,277.725
"63","Macrorregião Centro-Norte",2009-04-01,"Atenção Secundária","Enfermeiro",320,2
"64","Macrorregião Centro-Norte",2009-05-01,"APS","Enfermeiro",47840,299
"65","Macrorregião Centro-Norte",2009-05-01,"APS","Médico",45036,281.475
"66","Macrorregião Centro-Norte",2009-05-01,"Atenção Secundária","Enfermeiro",320,2
"67","Macrorregião Centro-Norte",2009-06-01,"APS","Enfermeiro",47840,299
"68","Macrorregião Centro-Norte",2009-06-01,"APS","Médico",45440,284
"69","Macrorregião Centro-Norte",2009-06-01,"Atenção Secundária","Enfermeiro",320,2
"70","Macrorregião Centro-Norte",2009-07-01,"APS","Enfermeiro",48532,303.325
"71","Macrorregião Centro-Norte",2009-07-01,"APS","Médico",45716,285.725
"72","Macrorregião Centro-Norte",2009-07-01,"Atenção Secundária","Enfermeiro",320,2
"73","Macrorregião Centro-Norte",2009-08-01,"APS","Enfermeiro",49052,306.575
"74","Macrorregião Centro-Norte",2009-08-01,"APS","Médico",45180,282.375
"75","Macrorregião Centro-Norte",2009-08-01,"Atenção Secundária","Enfermeiro",320,2
"76","Macrorregião Centro-Norte",2009-09-01,"APS","Enfermeiro",48924,305.775
"77","Macrorregião Centro-Norte",2009-09-01,"APS","Médico",45520,284.5
"78","Macrorregião Centro-Norte",2009-09-01,"Atenção Secundária","Enfermeiro",320,2
"79","Macrorregião Centro-Norte",2009-10-01,"APS","Enfermeiro",49244,307.775
"80","Macrorregião Centro-Norte",2009-10-01,"APS","Médico",45896,286.85
"81","Macrorregião Centro-Norte",2009-10-01,"Atenção Secundária","Enfermeiro",320,2
"82","Macrorregião Centro-Norte",2009-11-01,"APS","Enfermeiro",49404,308.775
"83","Macrorregião Centro-Norte",2009-11-01,"APS","Médico",45920,287
"84","Macrorregião Centro-Norte",2009-11-01,"Atenção Secundária","Enfermeiro",320,2
"85","Macrorregião Centro-Norte",2009-12-01,"APS","Enfermeiro",49580,309.875
"86","Macrorregião Centro-Norte",2009-12-01,"APS","Médico",47160,294.75
"87","Macrorregião Centro-Norte",2009-12-01,"Atenção Secundária","Enfermeiro",320,2
"88","Macrorregião Centro-Norte",2010-01-01,"APS","Enfermeiro",48940,305.875
"89","Macrorregião Centro-Norte",2010-01-01,"APS","Médico",47636,297.725
"90","Macrorregião Centro-Norte",2010-01-01,"Atenção Secundária","Enfermeiro",320,2
"91","Macrorregião Centro-Norte",2010-02-01,"APS","Enfermeiro",49100,306.875
"92","Macrorregião Centro-Norte",2010-02-01,"APS","Médico",48068,300.425
"93","Macrorregião Centro-Norte",2010-02-01,"Atenção Secundária","Enfermeiro",320,2
"94","Macrorregião Centro-Norte",2010-03-01,"APS","Enfermeiro",49740,310.875
"95","Macrorregião Centro-Norte",2010-03-01,"APS","Médico",49060,306.625
"96","Macrorregião Centro-Norte",2010-03-01,"Atenção Secundária","Enfermeiro",320,2
"97","Macrorregião Centro-Norte",2010-04-01,"APS","Enfermeiro",49180,307.375
"98","Macrorregião Centro-Norte",2010-04-01,"APS","Médico",49116,306.975
"99","Macrorregião Centro-Norte",2010-04-01,"Atenção Secundária","Enfermeiro",320,2
"100","Macrorregião Centro-Norte",2010-05-01,"APS","Enfermeiro",48580,303.625
"101","Macrorregião Centro-Norte",2010-05-01,"APS","Médico",49240,307.75
"102","Macrorregião Centro-Norte",2010-05-01,"Atenção Secundária","Enfermeiro",320,2
"103","Macrorregião Centro-Norte",2010-06-01,"APS","Enfermeiro",49340,308.375
"104","Macrorregião Centro-Norte",2010-06-01,"APS","Médico",50172,313.575
"105","Macrorregião Centro-Norte",2010-06-01,"Atenção Secundária","Enfermeiro",320,2
"106","Macrorregião Centro-Norte",2010-07-01,"APS","Enfermeiro",49500,309.375
"107","Macrorregião Centro-Norte",2010-07-01,"APS","Médico",50680,316.75
"108","Macrorregião Centro-Norte",2010-07-01,"Atenção Secundária","Enfermeiro",320,2
"109","Macrorregião Centro-Norte",2010-08-01,"APS","Enfermeiro",50004,312.525
"110","Macrorregião Centro-Norte",2010-08-01,"APS","Médico",51816,323.85
"111","Macrorregião Centro-Norte",2010-08-01,"Atenção Secundária","Enfermeiro",320,2
"112","Macrorregião Centro-Norte",2010-09-01,"APS","Enfermeiro",49376,308.6
"113","Macrorregião Centro-Norte",2010-09-01,"APS","Médico",51852,324.075
"114","Macrorregião Centro-Norte",2010-09-01,"Atenção Secundária","Enfermeiro",320,2
"115","Macrorregião Centro-Norte",2010-10-01,"APS","Enfermeiro",49356,308.475
"116","Macrorregião Centro-Norte",2010-10-01,"APS","Médico",51948,324.675
"117","Macrorregião Centro-Norte",2010-10-01,"Atenção Secundária","Enfermeiro",320,2
"118","Macrorregião Centro-Norte",2010-11-01,"APS","Enfermeiro",50956,318.475
"119","Macrorregião Centro-Norte",2010-11-01,"APS","Médico",52084,325.525
"120","Macrorregião Centro-Norte",2010-11-01,"Atenção Secundária","Enfermeiro",320,2
"121","Macrorregião Centro-Norte",2010-12-01,"APS","Enfermeiro",50796,317.475
"122","Macrorregião Centro-Norte",2010-12-01,"APS","Médico",52260,326.625
"123","Macrorregião Centro-Norte",2010-12-01,"Atenção Secundária","Enfermeiro",320,2
"124","Macrorregião Centro-Norte",2011-01-01,"APS","Enfermeiro",51040,319
"125","Macrorregião Centro-Norte",2011-01-01,"APS","Médico",51336,320.85
"126","Macrorregião Centro-Norte",2011-01-01,"Atenção Secundária","Enfermeiro",320,2
"127","Macrorregião Centro-Norte",2011-02-01,"APS","Enfermeiro",52480,328
"128","Macrorregião Centro-Norte",2011-02-01,"APS","Médico",52468,327.925
"129","Macrorregião Centro-Norte",2011-02-01,"Atenção Secundária","Enfermeiro",320,2
"130","Macrorregião Centro-Norte",2011-03-01,"APS","Enfermeiro",53440,334
"131","Macrorregião Centro-Norte",2011-03-01,"APS","Médico",52836,330.225
"132","Macrorregião Centro-Norte",2011-03-01,"Atenção Secundária","Enfermeiro",320,2
"133","Macrorregião Centro-Norte",2011-04-01,"APS","Enfermeiro",53280,333
"134","Macrorregião Centro-Norte",2011-04-01,"APS","Médico",52132,325.825
"135","Macrorregião Centro-Norte",2011-04-01,"Atenção Secundária","Enfermeiro",160,1
"136","Macrorregião Centro-Norte",2011-05-01,"APS","Enfermeiro",52864,330.4
"137","Macrorregião Centro-Norte",2011-05-01,"APS","Médico",51960,324.75
"138","Macrorregião Centro-Norte",2011-05-01,"Atenção Secundária","Enfermeiro",160,1
"139","Macrorregião Centro-Norte",2011-06-01,"APS","Enfermeiro",53100,331.875
"140","Macrorregião Centro-Norte",2011-06-01,"APS","Médico",50820,317.625
"141","Macrorregião Centro-Norte",2011-06-01,"Atenção Secundária","Enfermeiro",160,1
"142","Macrorregião Centro-Norte",2011-07-01,"APS","Enfermeiro",51740,323.375
"143","Macrorregião Centro-Norte",2011-07-01,"APS","Médico",49312,308.2
"144","Macrorregião Centro-Norte",2011-07-01,"Atenção Secundária","Enfermeiro",160,1
"145","Macrorregião Centro-Norte",2011-08-01,"APS","Enfermeiro",51524,322.025
"146","Macrorregião Centro-Norte",2011-08-01,"APS","Médico",48992,306.2
"147","Macrorregião Centro-Norte",2011-08-01,"Atenção Secundária","Enfermeiro",160,1
"148","Macrorregião Centro-Norte",2011-08-01,"Atenção Secundária","Médico",7872,49.2
"149","Macrorregião Centro-Norte",2011-09-01,"APS","Enfermeiro",51940,324.625
"150","Macrorregião Centro-Norte",2011-09-01,"APS","Médico",49860,311.625
"151","Macrorregião Centro-Norte",2011-09-01,"Atenção Secundária","Enfermeiro",160,1
"152","Macrorregião Centro-Norte",2011-09-01,"Atenção Secundária","Médico",8384,52.4
"153","Macrorregião Centro-Norte",2011-10-01,"APS","Enfermeiro",52420,327.625
"154","Macrorregião Centro-Norte",2011-10-01,"APS","Médico",50252,314.075
"155","Macrorregião Centro-Norte",2011-10-01,"Atenção Secundária","Enfermeiro",240,1.5
"156","Macrorregião Centro-Norte",2011-10-01,"Atenção Secundária","Médico",8368,52.3
"157","Macrorregião Centro-Norte",2011-11-01,"APS","Enfermeiro",51796,323.725
"158","Macrorregião Centro-Norte",2011-11-01,"APS","Médico",49464,309.15
"159","Macrorregião Centro-Norte",2011-11-01,"Atenção Secundária","Enfermeiro",240,1.5
"160","Macrorregião Centro-Norte",2011-11-01,"Atenção Secundária","Médico",8328,52.05
"161","Macrorregião Centro-Norte",2011-12-01,"APS","Enfermeiro",51556,322.225
"162","Macrorregião Centro-Norte",2011-12-01,"APS","Médico",49992,312.45
"163","Macrorregião Centro-Norte",2011-12-01,"Atenção Secundária","Enfermeiro",240,1.5
"164","Macrorregião Centro-Norte",2011-12-01,"Atenção Secundária","Médico",8464,52.9
"165","Macrorregião Centro-Norte",2012-01-01,"APS","Enfermeiro",52260,326.625
"166","Macrorregião Centro-Norte",2012-01-01,"APS","Médico",50464,315.4
"167","Macrorregião Centro-Norte",2012-01-01,"Atenção Secundária","Enfermeiro",240,1.5
"168","Macrorregião Centro-Norte",2012-01-01,"Atenção Secundária","Médico",8372,52.325
"169","Macrorregião Centro-Norte",2012-02-01,"APS","Enfermeiro",52564,328.525
"170","Macrorregião Centro-Norte",2012-02-01,"APS","Médico",50128,313.3
"171","Macrorregião Centro-Norte",2012-02-01,"Atenção Secundária","Enfermeiro",240,1.5
"172","Macrorregião Centro-Norte",2012-02-01,"Atenção Secundária","Médico",8300,51.875
"173","Macrorregião Centro-Norte",2012-03-01,"APS","Enfermeiro",51844,324.025
"174","Macrorregião Centro-Norte",2012-03-01,"APS","Médico",50096,313.1
"175","Macrorregião Centro-Norte",2012-03-01,"Atenção Secundária","Enfermeiro",240,1.5
"176","Macrorregião Centro-Norte",2012-03-01,"Atenção Secundária","Médico",8384,52.4
"177","Macrorregião Centro-Norte",2012-04-01,"APS","Enfermeiro",52228,326.425
"178","Macrorregião Centro-Norte",2012-04-01,"APS","Médico",50176,313.6
"179","Macrorregião Centro-Norte",2012-04-01,"Atenção Secundária","Enfermeiro",240,1.5
"180","Macrorregião Centro-Norte",2012-04-01,"Atenção Secundária","Médico",8048,50.3
"181","Macrorregião Centro-Norte",2012-05-01,"APS","Enfermeiro",52628,328.925
"182","Macrorregião Centro-Norte",2012-05-01,"APS","Médico",49460,309.125
"183","Macrorregião Centro-Norte",2012-05-01,"Atenção Secundária","Enfermeiro",240,1.5
"184","Macrorregião Centro-Norte",2012-05-01,"Atenção Secundária","Médico",8128,50.8
"185","Macrorregião Centro-Norte",2012-06-01,"APS","Enfermeiro",52772,329.825
"186","Macrorregião Centro-Norte",2012-06-01,"APS","Médico",49592,309.95
"187","Macrorregião Centro-Norte",2012-06-01,"Atenção Secundária","Enfermeiro",240,1.5
"188","Macrorregião Centro-Norte",2012-06-01,"Atenção Secundária","Médico",8252,51.575
"189","Macrorregião Centro-Norte",2012-07-01,"APS","Enfermeiro",50952,318.45
"190","Macrorregião Centro-Norte",2012-07-01,"APS","Médico",49164,307.275
"191","Macrorregião Centro-Norte",2012-07-01,"Atenção Secundária","Enfermeiro",240,1.5
"192","Macrorregião Centro-Norte",2012-07-01,"Atenção Secundária","Médico",8332,52.075
"193","Macrorregião Centro-Norte",2012-08-01,"APS","Enfermeiro",51144,319.65
"194","Macrorregião Centro-Norte",2012-08-01,"APS","Médico",49464,309.15
"195","Macrorregião Centro-Norte",2012-08-01,"Atenção Secundária","Enfermeiro",240,1.5
"196","Macrorregião Centro-Norte",2012-08-01,"Atenção Secundária","Médico",8284,51.775
"197","Macrorregião Centro-Norte",2012-09-01,"APS","Enfermeiro",50824,317.65
"198","Macrorregião Centro-Norte",2012-09-01,"APS","Médico",49304,308.15
"199","Macrorregião Centro-Norte",2012-09-01,"Atenção Secundária","Enfermeiro",240,1.5
"200","Macrorregião Centro-Norte",2012-09-01,"Atenção Secundária","Médico",8416,52.6
"201","Macrorregião Centro-Norte",2012-10-01,"APS","Enfermeiro",51704,323.15
"202","Macrorregião Centro-Norte",2012-10-01,"APS","Médico",49736,310.85
"203","Macrorregião Centro-Norte",2012-10-01,"Atenção Secundária","Enfermeiro",240,1.5
"204","Macrorregião Centro-Norte",2012-10-01,"Atenção Secundária","Médico",8448,52.8
"205","Macrorregião Centro-Norte",2012-11-01,"APS","Enfermeiro",51544,322.15
"206","Macrorregião Centro-Norte",2012-11-01,"APS","Médico",49024,306.4
"207","Macrorregião Centro-Norte",2012-11-01,"Atenção Secundária","Enfermeiro",240,1.5
"208","Macrorregião Centro-Norte",2012-11-01,"Atenção Secundária","Médico",8584,53.65
"209","Macrorregião Centro-Norte",2012-12-01,"APS","Enfermeiro",51464,321.65
"210","Macrorregião Centro-Norte",2012-12-01,"APS","Médico",48900,305.625
"211","Macrorregião Centro-Norte",2012-12-01,"Atenção Secundária","Enfermeiro",240,1.5
"212","Macrorregião Centro-Norte",2012-12-01,"Atenção Secundária","Médico",8456,52.85
"213","Macrorregião Centro-Norte",2013-01-01,"APS","Enfermeiro",52024,325.15
"214","Macrorregião Centro-Norte",2013-01-01,"APS","Médico",49164,307.275
"215","Macrorregião Centro-Norte",2013-01-01,"Atenção Secundária","Enfermeiro",240,1.5
"216","Macrorregião Centro-Norte",2013-01-01,"Atenção Secundária","Médico",8504,53.15
"217","Macrorregião Centro-Norte",2013-02-01,"APS","Enfermeiro",52568,328.55
"218","Macrorregião Centro-Norte",2013-02-01,"APS","Médico",47588,297.425
"219","Macrorregião Centro-Norte",2013-02-01,"Atenção Secundária","Enfermeiro",240,1.5
"220","Macrorregião Centro-Norte",2013-02-01,"Atenção Secundária","Médico",8252,51.575
"221","Macrorregião Centro-Norte",2013-03-01,"APS","Enfermeiro",54080,338
"222","Macrorregião Centro-Norte",2013-03-01,"APS","Médico",49780,311.125
"223","Macrorregião Centro-Norte",2013-03-01,"Atenção Secundária","Enfermeiro",240,1.5
"224","Macrorregião Centro-Norte",2013-03-01,"Atenção Secundária","Médico",8152,50.95
"225","Macrorregião Centro-Norte",2013-04-01,"APS","Enfermeiro",54544,340.9
"226","Macrorregião Centro-Norte",2013-04-01,"APS","Médico",49788,311.175
"227","Macrorregião Centro-Norte",2013-04-01,"Atenção Secundária","Enfermeiro",240,1.5
"228","Macrorregião Centro-Norte",2013-04-01,"Atenção Secundária","Médico",7776,48.6
"229","Macrorregião Centro-Norte",2013-05-01,"APS","Enfermeiro",54144,338.4
"230","Macrorregião Centro-Norte",2013-05-01,"APS","Médico",49272,307.95
"231","Macrorregião Centro-Norte",2013-05-01,"Atenção Secundária","Enfermeiro",240,1.5
"232","Macrorregião Centro-Norte",2013-05-01,"Atenção Secundária","Médico",8004,50.025
"233","Macrorregião Centro-Norte",2013-06-01,"APS","Enfermeiro",54616,341.35
"234","Macrorregião Centro-Norte",2013-06-01,"APS","Médico",48728,304.55
"235","Macrorregião Centro-Norte",2013-06-01,"Atenção Secundária","Enfermeiro",240,1.5
"236","Macrorregião Centro-Norte",2013-06-01,"Atenção Secundária","Médico",7736,48.35
"237","Macrorregião Centro-Norte",2013-07-01,"APS","Enfermeiro",54696,341.85
"238","Macrorregião Centro-Norte",2013-07-01,"APS","Médico",49320,308.25
"239","Macrorregião Centro-Norte",2013-07-01,"Atenção Secundária","Enfermeiro",240,1.5
"240","Macrorregião Centro-Norte",2013-07-01,"Atenção Secundária","Médico",7812,48.825
"241","Macrorregião Centro-Norte",2013-08-01,"APS","Enfermeiro",55496,346.85
"242","Macrorregião Centro-Norte",2013-08-01,"APS","Médico",50120,313.25
"243","Macrorregião Centro-Norte",2013-08-01,"Atenção Secundária","Enfermeiro",240,1.5
"244","Macrorregião Centro-Norte",2013-08-01,"Atenção Secundária","Médico",7896,49.35
"245","Macrorregião Centro-Norte",2013-09-01,"APS","Enfermeiro",55536,347.1
"246","Macrorregião Centro-Norte",2013-09-01,"APS","Médico",49768,311.05
"247","Macrorregião Centro-Norte",2013-09-01,"Atenção Secundária","Enfermeiro",240,1.5
"248","Macrorregião Centro-Norte",2013-09-01,"Atenção Secundária","Médico",7828,48.925
"249","Macrorregião Centro-Norte",2013-10-01,"APS","Enfermeiro",54960,343.5
"250","Macrorregião Centro-Norte",2013-10-01,"APS","Médico",50148,313.425
"251","Macrorregião Centro-Norte",2013-10-01,"Atenção Secundária","Enfermeiro",240,1.5
"252","Macrorregião Centro-Norte",2013-10-01,"Atenção Secundária","Médico",7724,48.275
"253","Macrorregião Centro-Norte",2013-11-01,"APS","Enfermeiro",54736,342.1
"254","Macrorregião Centro-Norte",2013-11-01,"APS","Médico",51596,322.475
"255","Macrorregião Centro-Norte",2013-11-01,"Atenção Secundária","Enfermeiro",240,1.5
"256","Macrorregião Centro-Norte",2013-11-01,"Atenção Secundária","Médico",7724,48.275
"257","Macrorregião Centro-Norte",2013-12-01,"APS","Enfermeiro",55216,345.1
"258","Macrorregião Centro-Norte",2013-12-01,"APS","Médico",52196,326.225
"259","Macrorregião Centro-Norte",2013-12-01,"Atenção Secundária","Enfermeiro",240,1.5
"260","Macrorregião Centro-Norte",2013-12-01,"Atenção Secundária","Médico",7924,49.525
"261","Macrorregião Centro-Norte",2014-01-01,"APS","Enfermeiro",54680,341.75
"262","Macrorregião Centro-Norte",2014-01-01,"APS","Médico",51552,322.2
"263","Macrorregião Centro-Norte",2014-01-01,"Atenção Secundária","Enfermeiro",240,1.5
"264","Macrorregião Centro-Norte",2014-01-01,"Atenção Secundária","Médico",7960,49.75
"265","Macrorregião Centro-Norte",2014-02-01,"APS","Enfermeiro",55600,347.5
"266","Macrorregião Centro-Norte",2014-02-01,"APS","Médico",51012,318.825
"267","Macrorregião Centro-Norte",2014-02-01,"Atenção Secundária","Enfermeiro",240,1.5
"268","Macrorregião Centro-Norte",2014-02-01,"Atenção Secundária","Médico",8008,50.05
"269","Macrorregião Centro-Norte",2014-03-01,"APS","Enfermeiro",56684,354.275
"270","Macrorregião Centro-Norte",2014-03-01,"APS","Médico",52188,326.175
"271","Macrorregião Centro-Norte",2014-03-01,"Atenção Secundária","Enfermeiro",240,1.5
"272","Macrorregião Centro-Norte",2014-03-01,"Atenção Secundária","Médico",8080,50.5
"273","Macrorregião Centro-Norte",2014-04-01,"APS","Enfermeiro",56524,353.275
"274","Macrorregião Centro-Norte",2014-04-01,"APS","Médico",52660,329.125
"275","Macrorregião Centro-Norte",2014-04-01,"Atenção Secundária","Enfermeiro",240,1.5
"276","Macrorregião Centro-Norte",2014-04-01,"Atenção Secundária","Médico",8008,50.05
"277","Macrorregião Centro-Norte",2014-05-01,"APS","Enfermeiro",57564,359.775
"278","Macrorregião Centro-Norte",2014-05-01,"APS","Médico",55548,347.175
"279","Macrorregião Centro-Norte",2014-05-01,"Atenção Secundária","Enfermeiro",240,1.5
"280","Macrorregião Centro-Norte",2014-05-01,"Atenção Secundária","Médico",8392,52.45
"281","Macrorregião Centro-Norte",2014-06-01,"APS","Enfermeiro",57036,356.475
"282","Macrorregião Centro-Norte",2014-06-01,"APS","Médico",56972,356.075
"283","Macrorregião Centro-Norte",2014-06-01,"Atenção Secundária","Enfermeiro",240,1.5
"284","Macrorregião Centro-Norte",2014-06-01,"Atenção Secundária","Médico",8740,54.625
"285","Macrorregião Centro-Norte",2014-07-01,"APS","Enfermeiro",57620,360.125
"286","Macrorregião Centro-Norte",2014-07-01,"APS","Médico",57468,359.175
"287","Macrorregião Centro-Norte",2014-07-01,"Atenção Secundária","Enfermeiro",232,1.45
"288","Macrorregião Centro-Norte",2014-07-01,"Atenção Secundária","Médico",8864,55.4
"289","Macrorregião Centro-Norte",2014-08-01,"APS","Enfermeiro",56580,353.625
"290","Macrorregião Centro-Norte",2014-08-01,"APS","Médico",59148,369.675
"291","Macrorregião Centro-Norte",2014-08-01,"Atenção Secundária","Enfermeiro",232,1.45
"292","Macrorregião Centro-Norte",2014-08-01,"Atenção Secundária","Médico",8808,55.05
"293","Macrorregião Centro-Norte",2014-09-01,"APS","Enfermeiro",56100,350.625
"294","Macrorregião Centro-Norte",2014-09-01,"APS","Médico",58108,363.175
"295","Macrorregião Centro-Norte",2014-09-01,"Atenção Secundária","Enfermeiro",232,1.45
"296","Macrorregião Centro-Norte",2014-09-01,"Atenção Secundária","Médico",8888,55.55
"297","Macrorregião Centro-Norte",2014-10-01,"APS","Enfermeiro",56124,350.775
"298","Macrorregião Centro-Norte",2014-10-01,"APS","Médico",58396,364.975
"299","Macrorregião Centro-Norte",2014-10-01,"Atenção Secundária","Enfermeiro",232,1.45
"300","Macrorregião Centro-Norte",2014-10-01,"Atenção Secundária","Médico",8764,54.775
"301","Macrorregião Centro-Norte",2014-11-01,"APS","Enfermeiro",57644,360.275
"302","Macrorregião Centro-Norte",2014-11-01,"APS","Médico",58436,365.225
"303","Macrorregião Centro-Norte",2014-11-01,"Atenção Secundária","Enfermeiro",712,4.45
"304","Macrorregião Centro-Norte",2014-11-01,"Atenção Secundária","Médico",8748,54.675
"305","Macrorregião Centro-Norte",2014-12-01,"APS","Enfermeiro",57748,360.925
"306","Macrorregião Centro-Norte",2014-12-01,"APS","Médico",59180,369.875
"307","Macrorregião Centro-Norte",2014-12-01,"Atenção Secundária","Enfermeiro",712,4.45
"308","Macrorregião Centro-Norte",2014-12-01,"Atenção Secundária","Médico",8520,53.25
"309","Macrorregião Centro-Norte",2015-01-01,"APS","Enfermeiro",56764,354.775
"310","Macrorregião Centro-Norte",2015-01-01,"APS","Médico",57544,359.65
"311","Macrorregião Centro-Norte",2015-01-01,"Atenção Secundária","Enfermeiro",712,4.45
"312","Macrorregião Centro-Norte",2015-01-01,"Atenção Secundária","Médico",8496,53.1
"313","Macrorregião Centro-Norte",2015-02-01,"APS","Enfermeiro",58132,363.325
"314","Macrorregião Centro-Norte",2015-02-01,"APS","Médico",58632,366.45
"315","Macrorregião Centro-Norte",2015-02-01,"Atenção Secundária","Enfermeiro",712,4.45
"316","Macrorregião Centro-Norte",2015-02-01,"Atenção Secundária","Médico",8524,53.275
"317","Macrorregião Centro-Norte",2015-03-01,"APS","Enfermeiro",58596,366.225
"318","Macrorregião Centro-Norte",2015-03-01,"APS","Médico",58484,365.525
"319","Macrorregião Centro-Norte",2015-03-01,"Atenção Secundária","Enfermeiro",712,4.45
"320","Macrorregião Centro-Norte",2015-03-01,"Atenção Secundária","Médico",8592,53.7
"321","Macrorregião Centro-Norte",2015-04-01,"APS","Enfermeiro",58164,363.525
"322","Macrorregião Centro-Norte",2015-04-01,"APS","Médico",58716,366.975
