ano,mes,tipo_unidade,nivel_atencao,cbo,categoria,especialidade,FTE,quantidade
2009,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,223157,Médico,,316,20
2009,04,POSTO DE SAUDE,APS,2231A2,Médico,,20,1
2009,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,223136,Médico,,72,4
2010,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,223144,Médico,,177,15
2010,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,223101,Médico,,1,1
2010,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,223152,Médico,,10,2
2011,01,POSTO DE SAUDE,APS,2235C2,Enfermeiro,,186,12
2011,04,POSTO DE SAUDE,APS,2235C1,Enfermeiro,,3520,88
2011,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,223144,Médico,,137,12
2014,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,225250,Médico,Médico ginecologista e obstetra,2776,176
2014,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,225118,Médico,Médico nutrologista,12,1
2014,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,223505,Enfermeiro,Enfermeiro,11664,377
2016,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,225305,Médico,Médico citopatologista,10,1
2017,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225255,Médico,Médico mastologista,7,1
2019,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225125,Médico,Médico clínico,8460,425
2019,06,POSTO DE SAUDE,APS,225142,Médico,Médico da estratégia de saúde da família,2614,67
2019,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,225115,Médico,Médico angiologista,3,1
2020,11,CLINICA/CENTRO DE ESPECIALIDADE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,1654,136
2021,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,225155,Médico,Médico endocrinologista e metabologista,137,8
2021,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,225255,Médico,Médico mastologista,20,2
2021,04,POSTO DE SAUDE,APS,225285,Médico,Médico urologista,20,1
2008,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,223149,Médico,,4913,272
2008,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,223146,Médico,,449,29
2008,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,223102,Médico,,40,2
2008,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,223120,Médico,,26,3
2008,01,POSTO DE SAUDE,APS,223117,Médico,,12,1
2009,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,223138,Médico,,150,10
2011,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,223144,Médico,,187,13
2011,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,223106,Médico,,543,39
2011,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231A2,Médico,,29,5
2011,11,POSTO DE SAUDE,APS,225120,Médico,Médico cardiologista,40,3
2013,01,CLINICA/CENTRO DE ESPECIALIDADE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,531,37
2013,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,223565,Enfermeiro,Enfermeiro da estratégia de saúde da família,52962,1326
2013,01,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,56,3
2013,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,225160,Médico,Médico fisiatra,12,1
2013,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231G1,Médico,,4,1
2013,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,225127,Médico,Médico pneumologista,36,3
2013,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,225320,Médico,Médico em radiologia e diagnóstico por imagem,162,18
2013,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,225136,Médico,Médico reumatologista,25,2
2013,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,225280,Médico,Médico coloproctologista,20,3
2015,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,223505,Enfermeiro,Enfermeiro,11816,382
2015,03,POLICLINICA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,1589,96
2015,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,225165,Médico,Médico gastroenterologista,40,5
2015,05,POLICLINICA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,1591,96
2016,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,225270,Médico,Médico ortopedista e traumatologista,337,21
2016,04,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,331,22
2016,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,225230,Médico,Médico cirurgião pediátrico,20,1
2016,04,CONSULTORIO ISOLADO,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,112,8
2016,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,225265,Médico,Médico oftalmologista,123,12
2018,12,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,223505,Enfermeiro,Enfermeiro,180,5
2018,12,POSTO DE SAUDE,APS,225255,Médico,Médico mastologista,4,1
2019,03,POSTO DE SAUDE,APS,223565,Enfermeiro,Enfermeiro da estratégia de saúde da família,2960,74
2019,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,225185,Médico,Médico hematologista,4,1
2020,05,HOSPITAL GERAL,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,8531,666
2020,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225310,Médico,Médico em endoscopia,5,1
2020,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,225155,Médico,Médico endocrinologista e metabologista,113,6
2020,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231F9,Médico,,1360,34
2020,09,POSTO DE SAUDE,APS,225225,Médico,Médico cirurgião geral,8,1
2020,09,CENTRAL DE GESTAO EM SAUDE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,90,5
2020,09,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,225125,Médico,Médico clínico,80,2
2020,09,POSTO DE SAUDE,APS,2231F9,Médico,,40,1
2020,12,POSTO DE SAUDE,APS,225225,Médico,Médico cirurgião geral,8,1
2021,03,UNIDADE DE ATENCAO A SAUDE INDIGENA,APS,225125,Médico,Médico clínico,60,2
2021,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231F9,Médico,,480,12
2022,01,HOSPITAL GERAL,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,9908,707
2022,01,UNIDADE MISTA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,202,12
2009,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,223128,Médico,,125,8
2009,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,223105,Médico,,130,8
2009,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,223147,Médico,,220,13
2009,09,POSTO DE SAUDE,APS,2235C1,Enfermeiro,,4536,114
2009,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,223147,Médico,,270,15
2010,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,223101,Médico,,21,2
2010,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231F8,Médico,,20,2
2010,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231A2,Médico,,38,7
2010,09,POSTO DE SAUDE,APS,223110,Médico,,10,1
2011,10,POSTO DE SAUDE,APS,225142,Médico,Médico da estratégia de saúde da família,3204,81
2011,10,PRONTO SOCORRO GERAL,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,335,20
2012,05,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,327,20
2012,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225112,Médico,Médico neurologista,80,9
2012,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,223550,Enfermeiro,Enfermeiro psiquiátrico,40,1
2012,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225280,Médico,Médico coloproctologista,20,3
2012,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,225142,Médico,Médico da estratégia de saúde da família,49962,1253
2012,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,223505,Enfermeiro,Enfermeiro,8263,284
2012,10,HOSPITAL GERAL,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,9488,790
2012,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,225140,Médico,Médico do trabalho,176,10
2012,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,225335,Médico,Médico patologista clínico / medicina laboratorial,10,1
2012,12,HOSPITAL ESPECIALIZADO,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,2690,163
2013,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,223505,Enfermeiro,Enfermeiro,10950,365
2013,12,PRONTO ATENDIMENTO,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,1024,54
2013,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,225195,Médico,Médico homeopata,20,1
2014,01,POLICLINICA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,884,58
2014,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,225275,Médico,Médico otorrinolaringologista,101,8
2014,03,POSTO DE SAUDE,APS,2231F9,Médico,,96,3
2014,03,POSTO DE SAUDE,APS,225255,Médico,Médico mastologista,4,1
2014,03,POSTO DE SAUDE,APS,225275,Médico,Médico otorrinolaringologista,5,1
2015,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,225135,Médico,Médico dermatologista,170,12
2015,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,225320,Médico,Médico em radiologia e diagnóstico por imagem,125,12
2016,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,225130,Médico,Médico de família e comunidade,2600,65
2016,01,UNIDADE DE ATENCAO A SAUDE INDIGENA,APS,223505,Enfermeiro,Enfermeiro,40,2
2016,01,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231F9,Médico,,20,1
2016,09,UNIDADE DE ATENCAO A SAUDE INDIGENA,APS,223505,Enfermeiro,Enfermeiro,40,2
2016,10,CENTRAL DE REGULACAO DE SERVICOS DE SAUDE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,78,3
2017,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,223565,Enfermeiro,Enfermeiro da estratégia de saúde da família,58103,1457
2017,05,POSTO DE SAUDE,APS,225250,Médico,Médico ginecologista e obstetra,135,14
2017,10,POSTO DE SAUDE,APS,225133,Médico,Médico psiquiatra,4,1
2018,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225250,Médico,Médico ginecologista e obstetra,2431,151
2018,05,HOSPITAL GERAL,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,8810,720
2018,05,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,225112,Médico,Médico neurologista,12,1
2018,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225103,Médico,Médico infectologista,94,6
2018,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,225103,Médico,Médico infectologista,94,6
2018,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,225121,Médico,Médico oncologista clínico,6,1
2018,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,223560,Enfermeiro,Enfermeiro sanitarista,80,2
2019,04,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,265,18
2019,04,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,223560,Enfermeiro,Enfermeiro sanitarista,40,1
2019,07,POSTO DE SAUDE,APS,225133,Médico,Médico psiquiatra,20,1
2019,07,POSTO DE SAUDE,APS,225225,Médico,Médico cirurgião geral,8,1
2019,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,225110,Médico,Médico alergista e imunologista,20,1
2019,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,225225,Médico,Médico cirurgião geral,223,17
2008,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231A2,Médico,,128,12
2008,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,2235C2,Enfermeiro,,2251,69
2008,12,POSTO DE SAUDE,APS,223505,Enfermeiro,Enfermeiro,438,22
2009,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,223148,Médico,,10,1
2009,05,POSTO DE SAUDE,APS,223138,Médico,,6,1
2009,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,223128,Médico,,149,11
2011,03,CENTRO DE SAUDE/UNIDADE BASICA,APS,223117,Médico,,647,41
2011,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,225230,Médico,Médico cirurgião pediátrico,10,1
2011,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,225195,Médico,Médico homeopata,60,2
2011,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,225270,Médico,Médico ortopedista e traumatologista,589,39
2011,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231A2,Médico,,27,4
2011,09,POSTO DE SAUDE,APS,225225,Médico,Médico cirurgião geral,10,1
2012,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,225115,Médico,Médico angiologista,42,3
2012,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,225180,Médico,Médico geriatra,41,2
2012,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,223565,Enfermeiro,Enfermeiro da estratégia de saúde da família,51962,1301
2014,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225125,Médico,Médico clínico,7379,433
2014,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225255,Médico,Médico mastologista,31,3
2014,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,225136,Médico,Médico reumatologista,25,2
2014,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,225280,Médico,Médico coloproctologista,20,3
2015,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,225285,Médico,Médico urologista,150,12
2015,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,225255,Médico,Médico mastologista,7,1
2015,12,POSTO DE SAUDE,APS,225170,Médico,Médico generalista,4,1
2016,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,223505,Enfermeiro,Enfermeiro,12699,412
2016,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,225124,Médico,Médico pediatra,2703,167
2016,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,225135,Médico,Médico dermatologista,146,11
2016,11,CENTRAL DE GESTAO EM SAUDE,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,100,5
2017,06,POLICLINICA,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,1257,75
2017,06,POSTO DE SAUDE,APS,225275,Médico,Médico otorrinolaringologista,5,1
2017,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,223565,Enfermeiro,Enfermeiro da estratégia de saúde da família,58218,1460
2017,12,CENTRO DE SAUDE/UNIDADE BASICA,APS,225110,Médico,Médico alergista e imunologista,10,1
2018,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225135,Médico,Médico dermatologista,258,18
2018,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,225120,Médico,Médico cardiologista,530,41
2018,07,CENTRO DE SAUDE/UNIDADE BASICA,APS,225255,Médico,Médico mastologista,18,3
2018,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,225265,Médico,Médico oftalmologista,84,7
2018,09,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,225250,Médico,Médico ginecologista e obstetra,32,2
2018,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231A2,Médico,,4,1
2020,02,POSTO DE SAUDE,APS,223505,Enfermeiro,Enfermeiro,1550,60
2020,02,HOSPITAL GERAL,Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,8696,670
2020,07,POSTO DE SAUDE,APS,225250,Médico,Médico ginecologista e obstetra,182,11
2021,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,225140,Médico,Médico do trabalho,76,6
2021,11,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,225125,Médico,Médico clínico,10,1
2008,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,223128,Médico,,115,8
2008,04,POSTO DE SAUDE,APS,223132,Médico,,153,15
2008,10,CENTRO DE SAUDE/UNIDADE BASICA,APS,223126,Médico,,12,1
2008,10,POSTO DE SAUDE,APS,223138,Médico,,12,1
2009,03,POSTO DE SAUDE,APS,223146,Médico,,34,3
2009,08,CENTRO DE SAUDE/UNIDADE BASICA,APS,223555,Enfermeiro,Enfermeiro puericultor e pediátrico,30,1
2010,02,POSTO DE SAUDE,APS,223505,Enfermeiro,Enfermeiro,625,40
2010,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,223530,Enfermeiro,Enfermeiro do trabalho,70,2
2010,02,POSTO DE SAUDE,APS,223110,Médico,,10,1
2010,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,223136,Médico,,82,5
2010,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,223102,Médico,,128,7
2010,11,CENTRO DE SAUDE/UNIDADE BASICA,APS,223133,Médico,,20,1
2011,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,223117,Médico,,466,31
2011,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,223147,Médico,,228,17
2012,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225225,Médico,Médico cirurgião geral,391,33
2012,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225285,Médico,Médico urologista,172,12
2012,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,225225,Médico,Médico cirurgião geral,378,31
2012,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,225310,Médico,Médico em endoscopia,4,1
2013,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225135,Médico,Médico dermatologista,210,14
2013,04,CENTRO DE SAUDE/UNIDADE BASICA,APS,225140,Médico,Médico do trabalho,118,7
2013,04,POSTO DE SAUDE,APS,225275,Médico,Médico otorrinolaringologista,5,1
2014,05,CENTRO DE SAUDE/UNIDADE BASICA,APS,225127,Médico,Médico pneumologista,44,4
2015,06,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Atenção Secundária,225250,Médico,Médico ginecologista e obstetra,350,22
2015,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,225265,Médico,Médico oftalmologista,145,15
2015,06,CENTRO DE SAUDE/UNIDADE BASICA,APS,225127,Médico,Médico pneumologista,54,5
2015,09,CENTRO DE SAUDE/UNIDADE BASICA,APS,223565,Enfermeiro,Enfermeiro da estratégia de saúde da família,55414,1390
2016,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,225280,Médico,Médico coloproctologista,15,2
2016,02,CENTRO DE SAUDE/UNIDADE BASICA,APS,2231A2,Médico,,10,1
2018,06,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,225250,Médico,Médico ginecologista e obstetra,12,1
2018,06,CENTRO DE APOIO A SAUDE DA FAMILIA,APS,225112,Médico,Médico neurologista,12,1
